pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.0,100,3,250,144909.0,159100.0,5985.68,28.9,53,4.78,0.15,0.0651,0.0079,4424.9828,"[55819.0, 62817.0, 69433.0, 75923.0, 81736.0, 87191.0, 92940.0, 98170.0, 103117.0, 107738.0, 112115.0, 116180.0, 119753.0, 123095.0, 126072.0, 128634.0, 130980.0, 133100.0, 135093.0, 136715.0, 138006.0, 139525.0, 140569.0, 141562.0, 142337.0, 143063.0, 143508.0, 143910.0, 144268.0, 144388.0, 144603.0, 144679.0, 144712.0, 144722.0, 144747.0, 144761.0, 144783.0, 144785.0, 144797.0, 144797.0, 144819.0, 144821.0, 144829.0, 144831.0, 144837.0, 144839.0, 144877.0, 144879.0, 144879.0, 144907.0, 144907.0, 144909.0]","[[34, 18, 35, 0, 4, 19, 1, 20], [27, 17, 29, 16, 15, 28, 30, 5], [13, 12, 14, 47, 9, 46, 48, 45], [36, 54, 57, 38, 56, 53, 52, 55], [63, 58, 62, 50, 51, 60, 61, 33], [2, 8, 44, 3, 10, 6, 7, 11], [26, 31, 49, 37, 25, 59, 43, 32], [39, 21, 42, 40, 22, 24, 23, 41]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.05,100,3,250,144067.0,155500.0,6409.2,29.75,42,4.84,0.34,0.0639,0.0087,4422.9901,"[55335.0, 62529.0, 69223.0, 75486.0, 81485.0, 87200.0, 92817.0, 97829.0, 102542.0, 106992.0, 111243.0, 115301.0, 118902.0, 122211.0, 124958.0, 127525.0, 129801.0, 131823.0, 133675.0, 135055.0, 136460.0, 138052.0, 139213.0, 140399.0, 141329.0, 141909.0, 142435.0, 142944.0, 143191.0, 143521.0, 143663.0, 143777.0, 143891.0, 143915.0, 143932.0, 143991.0, 144027.0, 144031.0, 144065.0, 144065.0, 144067.0]","[[40, 39, 41, 42, 38, 46, 47, 48], [61, 60, 5, 63, 19, 62, 20, 59], [44, 54, 57, 21, 17, 55, 56, 53], [14, 12, 13, 9, 6, 7, 8, 3], [23, 22, 34, 15, 4, 35, 24, 16], [51, 2, 18, 43, 32, 31, 50, 52], [10, 1, 26, 25, 37, 0, 49, 11], [33, 30, 27, 29, 58, 45, 36, 28]]"
250,100,boltzmann,greedy_merge,one_point,0.3,0.8,0.1,100,3,250,143941.0,157700.0,6911.48,29.14,42,4.55,0.23,0.0647,0.0089,4416.0354,"[55723.0, 62776.0, 69208.0, 75334.0, 81376.0, 87142.0, 92514.0, 97435.0, 102257.0, 106935.0, 111231.0, 115210.0, 119113.0, 122488.0, 125418.0, 128025.0, 130383.0, 132384.0, 134283.0, 135687.0, 137007.0, 138560.0, 139273.0, 140267.0, 141307.0, 141974.0, 142424.0, 142881.0, 143120.0, 143344.0, 143583.0, 143660.0, 143695.0, 143709.0, 143861.0, 143923.0, 143933.0, 143933.0, 143939.0, 143939.0, 143941.0]","[[26, 16, 17, 15, 21, 25, 27, 5], [45, 54, 24, 56, 55, 23, 57, 33], [22, 20, 36, 19, 53, 59, 4, 18], [8, 6, 7, 34, 29, 28, 35, 30], [50, 49, 37, 0, 51, 1, 52, 43], [44, 32, 41, 31, 39, 42, 38, 40], [48, 60, 62, 61, 46, 47, 63, 58], [13, 9, 10, 11, 12, 3, 2, 14]]"
250,100,boltzmann,table_preserve,one_point,0.3,0.9,0.0,100,3,250,145641.0,155200.0,5334.91,29.01,39,3.97,0.4,0.0617,0.0297,4141.0759,"[55888.0, 63176.0, 70530.0, 76854.0, 83435.0, 89228.0, 94494.0, 99949.0, 104806.0, 109321.0, 113697.0, 117803.0, 121449.0, 124742.0, 127820.0, 130429.0, 132859.0, 134987.0, 136879.0, 138438.0, 139709.0, 140997.0, 141904.0, 142801.0, 143436.0, 143941.0, 144505.0, 144770.0, 145041.0, 145185.0, 145392.0, 145513.0, 145561.0, 145607.0, 145621.0, 145641.0, 145641.0, 145641.0]","[[16, 18, 3, 2, 20, 19, 1, 0], [24, 26, 4, 5, 15, 25, 22, 23], [63, 29, 60, 58, 61, 30, 62, 28], [53, 42, 39, 14, 41, 12, 13, 40], [8, 31, 6, 9, 56, 57, 7, 32], [27, 52, 17, 51, 50, 54, 21, 55], [36, 49, 43, 37, 59, 35, 34, 33], [11, 10, 45, 44, 48, 38, 46, 47]]"
250,100,boltzmann,greedy_merge,one_point,0.9,0.9,0.0,100,3,250,146463.0,157500.0,5676.35,29.54,43,4.56,0.34,0.0613,0.0086,4562.8865,"[56260.0, 63528.0, 70267.0, 77122.0, 83452.0, 89297.0, 95063.0, 100174.0, 105167.0, 109868.0, 114351.0, 118313.0, 121789.0, 124893.0, 127903.0, 130341.0, 132588.0, 134664.0, 136644.0, 138260.0, 139687.0, 140861.0, 141907.0, 142680.0, 143549.0, 144067.0, 144553.0, 145146.0, 145480.0, 145789.0, 146033.0, 146182.0, 146266.0, 146336.0, 146384.0, 146397.0, 146401.0, 146423.0, 146427.0, 146463.0, 146463.0, 146463.0]","[[54, 55, 35, 56, 51, 57, 52, 50], [62, 58, 45, 60, 19, 61, 63, 20], [14, 13, 12, 8, 11, 10, 7, 6], [33, 32, 29, 36, 30, 28, 31, 34], [46, 25, 47, 26, 27, 44, 21, 17], [41, 40, 39, 49, 37, 43, 38, 42], [24, 22, 16, 23, 18, 5, 4, 15], [3, 2, 53, 1, 0, 9, 48, 59]]"
250,100,boltzmann,partially,one_point,0.9,0.8,0.0,100,3,250,143626.0,155400.0,5697.87,29.33,45,4.76,0.25,0.0618,0.0169,4319.6291,"[56031.0, 63397.0, 70266.0, 76651.0, 83196.0, 88992.0, 94676.0, 99810.0, 104661.0, 109210.0, 113233.0, 117084.0, 120492.0, 123737.0, 126190.0, 128864.0, 130906.0, 132810.0, 134393.0, 135985.0, 137182.0, 138381.0, 139653.0, 140448.0, 141156.0, 141748.0, 142160.0, 142482.0, 142769.0, 142980.0, 143280.0, 143350.0, 143378.0, 143402.0, 143478.0, 143498.0, 143530.0, 143535.0, 143581.0, 143600.0, 143622.0, 143626.0, 143626.0, 143626.0]","[[53, 21, 40, 42, 14, 17, 41, 39], [7, 6, 9, 56, 8, 3, 57, 2], [12, 10, 59, 11, 38, 58, 13, 48], [15, 4, 43, 37, 22, 24, 23, 16], [60, 49, 62, 36, 63, 35, 34, 61], [26, 1, 47, 27, 5, 25, 0, 46], [52, 32, 50, 51, 18, 20, 19, 31], [44, 33, 54, 30, 28, 45, 55, 29]]"
250,100,boltzmann,partially,one_point,0.9,0.8,0.05,100,3,250,144454.0,158500.0,5904.89,29.38,42,4.42,0.17,0.0614,0.0186,4342.4677,"[55753.0, 63379.0, 70263.0, 76768.0, 82830.0, 88421.0, 94051.0, 99141.0, 104066.0, 108439.0, 112747.0, 116702.0, 120270.0, 123408.0, 126260.0, 128723.0, 131216.0, 132977.0, 134818.0, 136604.0, 137870.0, 138965.0, 140119.0, 140999.0, 141889.0, 142469.0, 142969.0, 143461.0, 143863.0, 144008.0, 144140.0, 144244.0, 144352.0, 144394.0, 144420.0, 144430.0, 144434.0, 144450.0, 144454.0, 144454.0, 144454.0]","[[57, 34, 54, 56, 21, 33, 55, 35], [32, 51, 29, 50, 28, 52, 30, 31], [13, 25, 26, 47, 46, 12, 27, 14], [43, 36, 49, 44, 58, 48, 37, 59], [2, 7, 6, 0, 1, 9, 3, 8], [20, 19, 38, 42, 18, 39, 41, 40], [10, 63, 45, 11, 61, 62, 60, 53], [23, 15, 22, 4, 24, 5, 17, 16]]"
250,100,boltzmann,greedy_merge,one_point,0.7,0.9,0.0,100,3,250,144879.0,158100.0,6573.79,28.07,39,4.85,0.25,0.0641,0.0087,4456.5662,"[56699.0, 64206.0, 71310.0, 77678.0, 83981.0, 89850.0, 95412.0, 100839.0, 105755.0, 110264.0, 114534.0, 118639.0, 122207.0, 125495.0, 128216.0, 130790.0, 133370.0, 135330.0, 136960.0, 138388.0, 139690.0, 140697.0, 141574.0, 142195.0, 142635.0, 143187.0, 143689.0, 144063.0, 144458.0, 144546.0, 144676.0, 144788.0, 144837.0, 144865.0, 144869.0, 144877.0, 144879.0, 144879.0]","[[27, 1, 4, 17, 16, 5, 0, 15], [8, 3, 6, 2, 9, 7, 24, 23], [48, 36, 58, 60, 62, 63, 61, 45], [29, 28, 35, 37, 34, 43, 30, 49], [31, 57, 56, 33, 32, 55, 54, 21], [38, 39, 41, 40, 10, 42, 11, 14], [22, 25, 44, 13, 12, 46, 26, 47], [53, 52, 20, 50, 19, 51, 59, 18]]"
250,100,boltzmann,partially,one_point,0.8,0.9,0.0,100,3,250,145314.0,158700.0,5752.7,29.15,42,4.62,0.14,0.0629,0.0186,4165.7793,"[55368.0, 62691.0, 69806.0, 76451.0, 82823.0, 88538.0, 94404.0, 99591.0, 104522.0, 109148.0, 113390.0, 117293.0, 120999.0, 124415.0, 127504.0, 130016.0, 132211.0, 134303.0, 136560.0, 138204.0, 139387.0, 140569.0, 141502.0, 142290.0, 142886.0, 143336.0, 143745.0, 144051.0, 144409.0, 144674.0, 144880.0, 145073.0, 145134.0, 145207.0, 145253.0, 145300.0, 145306.0, 145310.0, 145314.0, 145314.0, 145314.0]","[[34, 21, 52, 33, 56, 44, 57, 35], [17, 0, 5, 15, 22, 1, 16, 19], [4, 31, 23, 11, 24, 32, 45, 10], [8, 3, 6, 7, 48, 2, 59, 9], [55, 53, 13, 14, 46, 47, 54, 12], [37, 36, 60, 49, 61, 62, 43, 63], [30, 26, 50, 51, 25, 29, 27, 28], [41, 42, 39, 40, 20, 18, 38, 58]]"
250,100,boltzmann,partially,one_point,0.8,0.9,0.05,100,3,250,144852.0,159700.0,7007.63,28.68,51,4.75,0.18,0.0641,0.0189,4194.9833,"[55628.0, 62988.0, 69733.0, 76361.0, 82382.0, 87963.0, 93682.0, 98891.0, 103975.0, 108664.0, 112970.0, 117153.0, 120907.0, 124306.0, 127281.0, 130052.0, 132508.0, 134446.0, 136142.0, 137520.0, 139031.0, 140105.0, 141189.0, 141923.0, 142502.0, 143219.0, 143490.0, 143870.0, 144192.0, 144348.0, 144433.0, 144520.0, 144634.0, 144694.0, 144733.0, 144735.0, 144785.0, 144797.0, 144797.0, 144813.0, 144813.0, 144817.0, 144817.0, 144821.0, 144821.0, 144831.0, 144838.0, 144852.0, 144852.0, 144852.0]","[[42, 40, 34, 38, 39, 41, 35, 21], [20, 10, 11, 27, 18, 26, 25, 19], [54, 62, 55, 45, 58, 61, 60, 63], [3, 2, 31, 9, 32, 6, 8, 7], [51, 0, 46, 50, 1, 47, 52, 53], [4, 17, 16, 5, 23, 15, 24, 22], [13, 33, 28, 48, 12, 30, 14, 29], [57, 44, 56, 37, 43, 59, 49, 36]]"
