pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,avg_generations,max_generations,std_fitness,std_generations,best_solution,fitness_progress
100,100,ranking,table_preserve,inversion,0.8,0.9,0.0,30,3,250,93993.33333333331,113200.0,27.23333333333333,56,12917.583193289507,11.646697195151749,"[[1, 0, 4, 37, 36, 49, 2, 3], [26, 9, 18, 19, 5, 15, 20, 16], [22, 13, 10, 11, 17, 21, 53, 12], [42, 57, 35, 23, 56, 34, 40, 24], [61, 14, 60, 62, 8, 58, 63, 6], [50, 51, 54, 27, 48, 59, 55, 52], [46, 47, 33, 30, 39, 45, 41, 25], [28, 38, 32, 7, 44, 29, 43, 31]]","[51073.333333333336, 55343.333333333336, 58143.333333333336, 61983.333333333336, 64216.666666666664, 66206.66666666667, 68493.33333333333, 71586.66666666667, 72476.66666666667, 73880.0, 76643.33333333333, 77540.0, 78463.33333333333, 80000.0, 81716.66666666667, 82023.33333333333, 82843.33333333333, 84570.0, 85610.0, 86870.0, 86900.0, 87320.0, 88633.33333333333, 89693.33333333333, 90310.0, 90946.66666666667, 91006.66666666667, 90930.0, 91536.66666666667, 92253.33333333333, 92653.33333333333, 92573.33333333333, 93060.0, 93213.33333333333, 93506.66666666667, 93326.66666666667, 93333.33333333333, 93846.66666666667, 93800.0, 93986.66666666667, 94000.0, 94000.0, 94013.33333333333, 94013.33333333333, 94060.0, 94066.66666666667, 94133.33333333333, 94086.66666666667, 94046.66666666667, 94046.66666666667, 93893.33333333333, 94000.0, 94126.66666666667, 94000.0, 93993.33333333333]"
100,100,ranking,table_preserve,inversion,0.9,0.9,0.0,30,3,250,93426.66666666669,121800.0,26.73333333333333,51,11328.8991325528,11.704510051922531,"[[20, 0, 19, 1, 16, 5, 17, 26], [7, 2, 3, 10, 34, 6, 35, 9], [63, 60, 54, 31, 61, 55, 62, 32], [42, 14, 13, 11, 41, 12, 40, 39], [53, 23, 59, 24, 45, 22, 4, 58], [50, 47, 46, 8, 33, 51, 48, 29], [56, 44, 36, 52, 57, 18, 27, 25], [30, 49, 37, 43, 15, 28, 38, 21]]","[51300.0, 55430.0, 59346.666666666664, 61703.333333333336, 65510.0, 67980.0, 69253.33333333333, 72683.33333333333, 74540.0, 75450.0, 77276.66666666667, 78806.66666666667, 79606.66666666667, 80646.66666666667, 82433.33333333333, 83403.33333333333, 84246.66666666667, 84580.0, 85506.66666666667, 85880.0, 87373.33333333333, 88306.66666666667, 88346.66666666667, 88460.0, 89153.33333333333, 89500.0, 89846.66666666667, 90806.66666666667, 91140.0, 91160.0, 91620.0, 92013.33333333333, 91793.33333333333, 91880.0, 92316.66666666667, 92166.66666666667, 92560.0, 92710.0, 92660.0, 92513.33333333333, 92760.0, 92660.0, 93073.33333333333, 93366.66666666667, 93120.0, 93406.66666666667, 93533.33333333333, 93440.0, 93426.66666666667, 93426.66666666667]"
100,100,ranking,table_preserve,inversion,0.9,0.8,0.0,30,3,250,91136.66666666669,112100.0,21.8,47,13534.215488490232,11.166616915312057,"[[23, 24, 22, 16, 5, 15, 4, 0], [46, 18, 3, 39, 42, 47, 40, 2], [50, 56, 52, 57, 51, 11, 27, 10], [54, 55, 63, 49, 61, 60, 35, 34], [17, 12, 45, 13, 21, 31, 14, 32], [7, 6, 26, 19, 25, 48, 20, 8], [1, 28, 43, 62, 44, 30, 53, 29], [58, 38, 36, 33, 41, 9, 37, 59]]","[48936.666666666664, 55653.333333333336, 59083.333333333336, 62436.666666666664, 65563.33333333333, 68253.33333333333, 69860.0, 71370.0, 73510.0, 75050.0, 75943.33333333333, 77803.33333333333, 78623.33333333333, 79820.0, 81380.0, 82830.0, 83063.33333333333, 83803.33333333333, 84790.0, 85163.33333333333, 85470.0, 86243.33333333333, 86430.0, 86803.33333333333, 87033.33333333333, 87886.66666666667, 87680.0, 87993.33333333333, 88420.0, 89126.66666666667, 89380.0, 89706.66666666667, 90166.66666666667, 90373.33333333333, 90580.0, 90600.0, 90536.66666666667, 90460.0, 90400.0, 90560.0, 90640.0, 90786.66666666667, 90936.66666666667, 90786.66666666667, 91136.66666666667, 91136.66666666667]"
100,100,ranking,table_preserve,inversion,0.9,0.6,0.0,30,3,250,90696.66666666669,110000.0,20.33333333333333,41,11574.324554326651,9.012337223063849,"[[4, 17, 16, 20, 22, 0, 1, 15], [34, 35, 28, 29, 14, 12, 13, 30], [43, 41, 37, 32, 31, 10, 49, 11], [19, 6, 25, 7, 54, 8, 55, 3], [26, 5, 51, 40, 2, 48, 39, 50], [57, 44, 23, 56, 21, 58, 27, 24], [45, 60, 18, 62, 61, 38, 59, 42], [9, 63, 36, 52, 33, 47, 53, 46]]","[50256.666666666664, 54686.666666666664, 59323.333333333336, 62310.0, 65196.666666666664, 67663.33333333333, 70386.66666666667, 71910.0, 73853.33333333333, 75766.66666666667, 78276.66666666667, 79673.33333333333, 80673.33333333333, 82923.33333333333, 83506.66666666667, 84526.66666666667, 86440.0, 87376.66666666667, 88136.66666666667, 88270.0, 88593.33333333333, 88790.0, 88936.66666666667, 88896.66666666667, 88970.0, 89176.66666666667, 89643.33333333333, 89880.0, 89776.66666666667, 89796.66666666667, 90190.0, 90430.0, 90570.0, 90583.33333333333, 90596.66666666667, 90596.66666666667, 90610.0, 90643.33333333333, 90696.66666666667, 90696.66666666667]"
100,100,ranking,table_preserve,inversion,0.8,0.7,0.0,30,3,250,89526.66666666667,118000.0,19.9,48,13616.630354908744,9.86694819418176,"[[49, 37, 0, 1, 55, 10, 11, 48], [16, 18, 21, 22, 15, 5, 2, 17], [12, 61, 62, 63, 60, 53, 13, 14], [8, 50, 51, 46, 7, 6, 9, 47], [31, 23, 20, 4, 25, 26, 32, 24], [39, 56, 41, 57, 34, 40, 35, 19], [36, 29, 27, 30, 44, 28, 43, 38], [58, 33, 42, 59, 45, 52, 3, 54]]","[48523.333333333336, 54456.666666666664, 58363.333333333336, 62630.0, 66076.66666666667, 67803.33333333333, 69580.0, 71353.33333333333, 72633.33333333333, 75010.0, 76766.66666666667, 78186.66666666667, 79370.0, 80916.66666666667, 81023.33333333333, 82346.66666666667, 83386.66666666667, 83673.33333333333, 84970.0, 85333.33333333333, 85993.33333333333, 86746.66666666667, 87220.0, 87146.66666666667, 87260.0, 87593.33333333333, 88006.66666666667, 88220.0, 88266.66666666667, 88500.0, 88940.0, 88900.0, 89260.0, 89233.33333333333, 89233.33333333333, 89306.66666666667, 89306.66666666667, 89313.33333333333, 89360.0, 89340.0, 89353.33333333333, 89366.66666666667, 89353.33333333333, 89353.33333333333, 89520.0, 89520.0, 89526.66666666667]"
100,100,ranking,table_preserve,inversion,0.6,0.9,0.0,30,3,250,88520.0,112400.0,23.6,52,13731.821923304036,12.528899925106488,"[[0, 1, 15, 5, 16, 19, 18, 4], [6, 30, 2, 50, 3, 51, 7, 52], [38, 17, 26, 21, 25, 61, 58, 60], [10, 24, 11, 8, 31, 23, 53, 32], [42, 41, 63, 40, 29, 48, 39, 36], [62, 57, 13, 20, 44, 12, 56, 14], [45, 33, 49, 46, 35, 47, 27, 9], [55, 22, 43, 37, 54, 34, 28, 59]]","[50716.666666666664, 54676.666666666664, 58223.333333333336, 60620.0, 63560.0, 66523.33333333333, 67460.0, 69226.66666666667, 70210.0, 72123.33333333333, 73766.66666666667, 76123.33333333333, 77856.66666666667, 77870.0, 78536.66666666667, 79363.33333333333, 79930.0, 80833.33333333333, 81486.66666666667, 82430.0, 82936.66666666667, 82823.33333333333, 82910.0, 83420.0, 84556.66666666667, 84670.0, 85103.33333333333, 84706.66666666667, 85303.33333333333, 85736.66666666667, 85856.66666666667, 85976.66666666667, 86460.0, 87180.0, 87456.66666666667, 87800.0, 88213.33333333333, 88133.33333333333, 88266.66666666667, 88300.0, 88560.0, 88566.66666666667, 88706.66666666667, 88586.66666666667, 88453.33333333333, 88473.33333333333, 88386.66666666667, 88426.66666666667, 88686.66666666667, 88520.0, 88520.0]"
100,100,ranking,table_preserve,inversion,0.5,0.9,0.0,30,3,250,88053.33333333333,108400.0,25.566666666666663,42,10089.78801671384,9.386811078434585,"[[10, 1, 0, 11, 22, 13, 12, 14], [27, 17, 16, 25, 5, 4, 38, 26], [45, 39, 42, 40, 2, 24, 23, 41], [34, 54, 6, 55, 9, 7, 30, 35], [56, 28, 59, 46, 47, 8, 57, 29], [48, 37, 32, 31, 36, 51, 52, 53], [33, 49, 63, 3, 60, 20, 61, 18], [19, 50, 43, 62, 58, 21, 15, 44]]","[50010.0, 53793.333333333336, 58310.0, 60770.0, 62243.333333333336, 64953.333333333336, 65470.0, 66996.66666666667, 70040.0, 70533.33333333333, 72420.0, 73096.66666666667, 75606.66666666667, 76970.0, 78213.33333333333, 79410.0, 79410.0, 81113.33333333333, 81480.0, 81853.33333333333, 82653.33333333333, 84056.66666666667, 85350.0, 85340.0, 86100.0, 86716.66666666667, 86196.66666666667, 86353.33333333333, 87006.66666666667, 87880.0, 87653.33333333333, 87820.0, 87666.66666666667, 88033.33333333333, 87946.66666666667, 88146.66666666667, 88206.66666666667, 88040.0, 88033.33333333333, 88053.33333333333, 88053.33333333333]"
100,100,ranking,table_preserve,inversion,0.7,0.8,0.0,30,3,250,88010.0,114800.0,22.166666666666668,54,13155.03325727457,10.927284912344676,"[[15, 0, 1, 5, 19, 16, 23, 24], [60, 63, 34, 61, 28, 35, 29, 30], [10, 12, 13, 8, 6, 14, 7, 2], [57, 40, 39, 55, 44, 3, 56, 45], [25, 20, 22, 42, 27, 41, 4, 26], [58, 9, 46, 43, 47, 48, 37, 18], [51, 59, 33, 52, 11, 36, 50, 53], [21, 54, 49, 38, 62, 31, 32, 17]]","[49813.333333333336, 52606.666666666664, 56300.0, 59570.0, 62383.333333333336, 64503.333333333336, 66703.33333333333, 68273.33333333333, 70653.33333333333, 72276.66666666667, 73316.66666666667, 75143.33333333333, 76050.0, 77913.33333333333, 78756.66666666667, 79783.33333333333, 80766.66666666667, 82480.0, 82900.0, 83946.66666666667, 84583.33333333333, 84763.33333333333, 85353.33333333333, 85470.0, 85936.66666666667, 85956.66666666667, 86223.33333333333, 86483.33333333333, 86263.33333333333, 86370.0, 86256.66666666667, 86743.33333333333, 86850.0, 86903.33333333333, 87016.66666666667, 86996.66666666667, 87223.33333333333, 87163.33333333333, 87156.66666666667, 87383.33333333333, 87563.33333333333, 87643.33333333333, 87476.66666666667, 87403.33333333333, 87356.66666666667, 87470.0, 87470.0, 87650.0, 87590.0, 87616.66666666667, 87663.33333333333, 88010.0, 88010.0]"
100,100,ranking,table_preserve,inversion,0.9,0.7,0.0,30,3,250,86913.33333333333,107800.0,19.066666666666663,41,12428.723005826285,9.553126306200616,"[[18, 15, 16, 4, 1, 22, 50, 0], [6, 9, 7, 2, 8, 34, 28, 3], [52, 60, 63, 43, 62, 37, 61, 51], [27, 31, 57, 23, 38, 24, 32, 56], [12, 13, 46, 19, 47, 49, 14, 35], [11, 20, 36, 58, 59, 30, 29, 10], [25, 26, 45, 44, 33, 48, 41, 55], [17, 39, 54, 21, 42, 40, 53, 5]]","[49546.666666666664, 54483.333333333336, 58420.0, 61786.666666666664, 64556.666666666664, 66826.66666666667, 68970.0, 71090.0, 72310.0, 74276.66666666667, 75576.66666666667, 77486.66666666667, 78066.66666666667, 78926.66666666667, 80520.0, 81490.0, 82013.33333333333, 82226.66666666667, 83380.0, 84116.66666666667, 83990.0, 84393.33333333333, 85256.66666666667, 85243.33333333333, 85413.33333333333, 85433.33333333333, 85800.0, 85740.0, 85833.33333333333, 85886.66666666667, 86086.66666666667, 86166.66666666667, 86473.33333333333, 86473.33333333333, 86506.66666666667, 86600.0, 86933.33333333333, 86826.66666666667, 86913.33333333333, 86913.33333333333]"
100,100,ranking,table_preserve,inversion,0.8,0.8,0.0,30,3,250,86330.0,111600.0,19.466666666666665,44,14783.32732055496,10.794237145604852,"[[16, 4, 18, 17, 15, 5, 53, 22], [40, 34, 1, 59, 11, 39, 35, 0], [3, 44, 13, 26, 12, 10, 2, 14], [55, 30, 24, 54, 29, 56, 28, 57], [61, 41, 62, 42, 36, 60, 19, 63], [25, 49, 7, 48, 6, 9, 37, 38], [47, 52, 46, 27, 31, 20, 33, 32], [43, 51, 23, 45, 21, 50, 8, 58]]","[50526.666666666664, 54533.333333333336, 59076.666666666664, 61256.666666666664, 64066.666666666664, 65963.33333333333, 69206.66666666667, 70766.66666666667, 71596.66666666667, 72400.0, 74030.0, 75250.0, 75903.33333333333, 76473.33333333333, 77783.33333333333, 78630.0, 78800.0, 79583.33333333333, 80560.0, 81483.33333333333, 82150.0, 83023.33333333333, 83883.33333333333, 84036.66666666667, 84603.33333333333, 85030.0, 85183.33333333333, 85223.33333333333, 85463.33333333333, 85576.66666666667, 85930.0, 86110.0, 86096.66666666667, 86090.0, 86303.33333333333, 86303.33333333333, 86236.66666666667, 86356.66666666667, 86356.66666666667, 86296.66666666667, 86296.66666666667, 86330.0, 86330.0]"
