pop_size,generations,selection,crossover,mutation,cx_rate,mut_rate,elitism_percent,runs,early_stop_gens,delta,avg_fitness,max_fitness,std_fitness,avg_generations,max_generations,std_generations,convergence_rate,avg_mutation_success_rate,avg_crossover_success_rate,avg_population_diversity,avg_fitness_progress,best_solution
50,50,tournament,group_based,swap,0.6,0.6,0.0,30,3,500,48210.0,57800.0,4026.61,25.53,50,15.62,0.2667,0.3971,0.0924,7691.676,"[43133.333333333336, 43896.666666666664, 43066.666666666664, 43506.666666666664, 45063.333333333336, 45446.666666666664, 46050.0, 45940.0, 46606.666666666664, 46316.666666666664, 46930.0, 46526.666666666664, 46536.666666666664, 46273.333333333336, 46273.333333333336, 46623.333333333336, 46600.0, 47330.0, 47786.666666666664, 47326.666666666664, 47123.333333333336, 48110.0, 47823.333333333336, 47686.666666666664, 47523.333333333336, 47666.666666666664, 47350.0, 46966.666666666664, 47040.0, 47820.0, 47850.0, 47040.0, 47730.0, 47143.333333333336, 46870.0, 47420.0, 47643.333333333336, 47573.333333333336, 47876.666666666664, 48220.0, 47986.666666666664, 47980.0, 47726.666666666664, 47983.333333333336, 48356.666666666664, 48076.666666666664, 47946.666666666664, 47963.333333333336, 48380.0, 48210.0]","[[20, 19, 61, 32, 60, 62, 51, 31], [30, 45, 55, 38, 25, 12, 21, 24], [36, 7, 1, 43, 9, 46, 0, 23], [3, 15, 22, 5, 37, 16, 41, 34], [27, 39, 33, 14, 47, 58, 54, 6], [52, 59, 10, 35, 17, 2, 8, 11], [42, 49, 53, 18, 57, 13, 63, 56], [28, 29, 44, 4, 26, 50, 40, 48]]"
50,50,tournament,group_based,swap,0.6,0.6,0.05,30,3,500,49986.67,60800.0,4831.68,5.7,12,1.83,0.0667,0.3878,0.0845,8790.1949,"[45146.666666666664, 46733.333333333336, 48093.333333333336, 48590.0, 49493.333333333336, 49853.333333333336, 49853.333333333336, 49853.333333333336, 49986.666666666664, 49986.666666666664, 49986.666666666664]","[[37, 59, 63, 21, 40, 9, 11, 60], [5, 54, 12, 42, 38, 35, 10, 24], [53, 7, 45, 3, 32, 47, 6, 2], [62, 52, 20, 48, 19, 17, 41, 30], [27, 51, 56, 43, 15, 57, 31, 13], [58, 25, 33, 39, 26, 23, 16, 55], [1, 4, 8, 46, 22, 0, 36, 44], [50, 18, 61, 34, 49, 28, 14, 29]]"
50,50,tournament,group_based,swap,0.6,0.6,0.1,30,3,500,49286.67,56400.0,3527.58,6.3,13,2.16,0.1333,0.3739,0.0636,9221.8336,"[43916.666666666664, 46203.333333333336, 46900.0, 48263.333333333336, 48733.333333333336, 49006.666666666664, 49040.0, 49236.666666666664, 49250.0, 49286.666666666664, 49286.666666666664, 49286.666666666664]","[[23, 33, 61, 60, 6, 21, 4, 32], [43, 49, 35, 27, 31, 34, 59, 40], [37, 50, 22, 12, 15, 24, 57, 62], [42, 19, 8, 46, 53, 11, 30, 20], [45, 13, 54, 10, 39, 7, 51, 52], [5, 14, 18, 16, 17, 58, 63, 36], [9, 1, 55, 26, 0, 25, 56, 28], [38, 47, 29, 44, 2, 41, 3, 48]]"
50,50,tournament,group_based,swap,0.6,0.6,0.25,30,3,500,49600.0,58200.0,3785.41,6.0,11,2.41,0.0667,0.3743,0.0559,9340.0884,"[44143.333333333336, 45930.0, 46863.333333333336, 48030.0, 48763.333333333336, 48980.0, 49120.0, 49600.0, 49600.0, 49600.0]","[[58, 10, 13, 18, 21, 48, 62, 19], [42, 14, 32, 35, 9, 17, 39, 31], [47, 16, 25, 4, 51, 57, 15, 45], [24, 60, 12, 41, 43, 22, 61, 46], [37, 36, 30, 23, 34, 0, 33, 49], [7, 6, 29, 59, 26, 11, 28, 50], [3, 40, 8, 27, 52, 63, 2, 53], [56, 5, 55, 38, 54, 44, 20, 1]]"
50,50,tournament,group_based,swap,0.6,0.7,0.0,30,3,500,45660.0,50800.0,2633.07,37.83,50,16.22,0.9,0.3962,0.0972,7564.0853,"[45080.0, 44796.666666666664, 43726.666666666664, 43780.0, 43643.333333333336, 44746.666666666664, 44350.0, 44966.666666666664, 44320.0, 45050.0, 44406.666666666664, 44150.0, 45290.0, 44726.666666666664, 45356.666666666664, 45053.333333333336, 45363.333333333336, 46213.333333333336, 45970.0, 44366.666666666664, 44970.0, 44120.0, 44203.333333333336, 45113.333333333336, 44406.666666666664, 44906.666666666664, 45130.0, 45596.666666666664, 45420.0, 44953.333333333336, 44910.0, 44483.333333333336, 45496.666666666664, 45360.0, 46113.333333333336, 46386.666666666664, 45513.333333333336, 45430.0, 45196.666666666664, 45373.333333333336, 45430.0, 44783.333333333336, 44186.666666666664, 44993.333333333336, 46140.0, 45096.666666666664, 44626.666666666664, 45006.666666666664, 45543.333333333336, 45660.0]","[[33, 63, 56, 20, 23, 12, 34, 62], [25, 22, 42, 36, 18, 0, 26, 16], [55, 29, 32, 43, 48, 41, 31, 59], [11, 8, 47, 4, 61, 35, 46, 38], [7, 19, 6, 2, 17, 51, 3, 50], [14, 49, 1, 21, 53, 39, 10, 60], [57, 15, 30, 9, 45, 54, 24, 28], [58, 5, 37, 40, 44, 13, 27, 52]]"
50,50,tournament,group_based,swap,0.6,0.7,0.05,30,3,500,49430.0,62000.0,4106.59,5.37,9,1.58,0.0333,0.3904,0.0878,8635.4574,"[45963.333333333336, 47443.333333333336, 48113.333333333336, 48890.0, 49330.0, 49430.0, 49430.0, 49430.0]","[[18, 56, 27, 14, 19, 20, 16, 42], [53, 33, 6, 63, 36, 21, 51, 46], [47, 15, 34, 61, 10, 57, 43, 13], [28, 8, 49, 37, 7, 35, 29, 40], [39, 24, 32, 23, 17, 4, 0, 45], [44, 30, 22, 48, 60, 58, 38, 54], [55, 1, 5, 26, 11, 50, 25, 41], [31, 62, 2, 52, 59, 9, 3, 12]]"
50,50,tournament,group_based,swap,0.6,0.7,0.1,30,3,500,48716.67,54800.0,3337.67,5.53,9,1.38,0.2,0.3672,0.0754,9183.8192,"[45806.666666666664, 46843.333333333336, 48110.0, 48603.333333333336, 48656.666666666664, 48716.666666666664, 48716.666666666664, 48716.666666666664]","[[38, 53, 36, 23, 37, 59, 56, 13], [43, 2, 3, 14, 57, 46, 8, 62], [10, 58, 34, 28, 9, 0, 1, 19], [30, 22, 55, 50, 29, 16, 5, 32], [48, 35, 11, 45, 61, 12, 44, 52], [47, 17, 54, 24, 15, 18, 63, 20], [33, 25, 21, 27, 7, 26, 31, 6], [42, 40, 51, 49, 60, 4, 41, 39]]"
50,50,tournament,group_based,swap,0.6,0.7,0.25,30,3,500,49876.67,56600.0,3539.56,6.47,13,2.97,0.2,0.3717,0.0448,9503.6662,"[45220.0, 46216.666666666664, 46840.0, 47510.0, 48136.666666666664, 48650.0, 49063.333333333336, 49193.333333333336, 49540.0, 49876.666666666664, 49876.666666666664, 49876.666666666664]","[[57, 53, 46, 19, 58, 62, 60, 0], [8, 1, 56, 59, 50, 12, 14, 9], [38, 42, 5, 41, 22, 40, 39, 11], [37, 35, 34, 52, 61, 32, 31, 20], [48, 17, 24, 26, 15, 21, 16, 2], [27, 25, 49, 36, 51, 45, 30, 29], [7, 18, 13, 6, 43, 47, 28, 23], [4, 33, 63, 10, 55, 44, 3, 54]]"
50,50,tournament,group_based,swap,0.6,0.8,0.0,30,3,500,46626.67,58000.0,4752.19,42.63,50,13.36,0.6333,0.4058,0.1042,7474.6162,"[45083.333333333336, 44526.666666666664, 45813.333333333336, 45153.333333333336, 45243.333333333336, 44930.0, 45860.0, 44620.0, 44153.333333333336, 45980.0, 45426.666666666664, 43893.333333333336, 45863.333333333336, 46676.666666666664, 44450.0, 45323.333333333336, 44203.333333333336, 44490.0, 43633.333333333336, 44953.333333333336, 43040.0, 44126.666666666664, 44656.666666666664, 44840.0, 44903.333333333336, 44906.666666666664, 44126.666666666664, 43673.333333333336, 44890.0, 45173.333333333336, 43740.0, 44810.0, 44343.333333333336, 45603.333333333336, 45293.333333333336, 45786.666666666664, 44200.0, 44483.333333333336, 44030.0, 44860.0, 45050.0, 44196.666666666664, 44296.666666666664, 45033.333333333336, 45383.333333333336, 46206.666666666664, 44380.0, 44596.666666666664, 45220.0, 46626.666666666664]","[[31, 32, 58, 24, 18, 47, 36, 43], [28, 55, 19, 38, 29, 62, 9, 52], [22, 60, 33, 49, 40, 26, 57, 48], [42, 14, 4, 6, 8, 30, 21, 20], [10, 61, 23, 59, 15, 56, 44, 2], [5, 27, 3, 51, 17, 63, 50, 53], [46, 1, 12, 0, 7, 13, 45, 54], [16, 41, 35, 11, 37, 39, 34, 25]]"
50,50,tournament,group_based,swap,0.6,0.8,0.05,30,3,500,50670.0,70200.0,5829.36,5.5,11,1.86,0.0333,0.3967,0.0899,8671.7073,"[46196.666666666664, 48013.333333333336, 49570.0, 50390.0, 50416.666666666664, 50473.333333333336, 50570.0, 50670.0, 50670.0, 50670.0]","[[52, 37, 38, 45, 23, 24, 43, 33], [51, 57, 39, 56, 36, 58, 12, 50], [3, 26, 20, 5, 14, 29, 55, 49], [6, 18, 7, 10, 25, 63, 62, 19], [34, 17, 28, 35, 47, 1, 46, 53], [60, 41, 42, 31, 30, 40, 32, 13], [8, 0, 44, 54, 27, 4, 22, 48], [9, 61, 15, 21, 59, 16, 2, 11]]"
